country,male,female
Austria,78.4,83.6
Azerbaijan,71.6,76.6
Belgium,77.8,83.1
Bulgaria,70.9,77.9
Croatia,73.9,80.6
Cyprus,78.9,83.4
Czech,75.1,81.2
Denmark,78.1,82.1
Estonia,71.5,81.6
Germany,78.6,83.3
Greece,78,83.4
Hungary,71.6,78.7
Iceland,81.6,84.3
Ireland,78.7,83.2
Latvia,68.9,78.9
Luxembourg,79.1,83.8
Macedonia,73,76.9
Malta,78.6,83
Moldova,67.2,75.1
Montenegro,74.3,78.4
Netherlands,79.3,83
Norway,79.5,83.5
Poland,72.7,81.1
Portugal,77.3,83.6
Slovakia,72.5,79.9
Slovenia,77.1,83.3
Spain,79.5,85.4
Sweden,79.9,83.6
Switzerland,80.6,84.9
Ukraine,66.1,76.1
